study_name,new_study_name,study_condition_1,study_condition_2,gene_abundances_rda
FengQ_2015,adenomas_feng_2015,control,adenoma,
FengQ_2015,crc_feng_2015,control,CRC,
KarlssonFH_2013,t2d_karlsson_2013,control,T2D,
KarlssonFH_2013,igt_karlsson_2013,control,IGT,
LiJ_2017,pre_ht_li_2017,control,pre-hypertension,
LiJ_2017,ht_li_2017,control,hypertension,
NagySzakalD_2017,me_cfs_nagySzakal_2017,control,ME/CFS,
NielsenHB_2014,ibd_nielsen_2014,control,IBD,../../data/raw/curatedMetagenomicData/2021-03-31.NielsenHB_2014.gene_families.rda
QinJ_2012,t2d_qin_2012,control,T2D,../../data/raw/curatedMetagenomicData/2021-10-14.QinJ_2012.gene_families.rda
QinN_2014,cirrhosis_qin_2014,control,cirrhosis,../../data/raw/curatedMetagenomicData/2021-03-31.QinN_2014.gene_families.rda
RubelMA_2020,sth_rubel_2020,control,STH,../../data/raw/curatedMetagenomicData/2021-10-14.RubelMA_2020.gene_families.rda
ThomasAM_2019_c,crc_thomas_2019_c,control,CRC,../../data/raw/curatedMetagenomicData/2021-03-31.ThomasAM_2019_c.gene_families.rda
VogtmannE_2016,crc_vogtmann_2016,control,CRC,../../data/raw/curatedMetagenomicData/2021-03-31.VogtmannE_2016.gene_families.rda
WirbelJ_2018,crc_wirbel_2018,control,CRC,../../data/raw/curatedMetagenomicData/2021-03-31.WirbelJ_2018.gene_families.rda
XieH_2016,migraine_xie_2016,control,migraine,../../data/raw/curatedMetagenomicData/2021-03-31.XieH_2016.gene_families.rda
YachidaS_2019,adenoma_yachida_2019,control,adenoma,../../data/raw/curatedMetagenomicData/2021-10-14.YachidaS_2019.gene_families.rda
YachidaS_2019,crc_yachida_2019,control,CRC,../../data/raw/curatedMetagenomicData/2021-10-14.YachidaS_2019.gene_families.rda
YuJ_2015,crc_yu_2015,control,CRC,../../data/raw/curatedMetagenomicData/2021-03-31.YuJ_2015.gene_families.rda
ZellerG_2014,crc_zeller_2014,control,CRC,../../data/raw/curatedMetagenomicData/2021-03-31.ZellerG_2014.gene_families.rda
ZellerG_2014,adenoma_zeller_2014,control,adenoma,../../data/raw/curatedMetagenomicData/2021-03-31.ZellerG_2014.gene_families.rda
ZhuF_2020,schizofrenia_zhu_2020,control,schizofrenia,../../data/raw/curatedMetagenomicData/2021-03-31.ZhuF_2020.gene_families.rda
#JieZ_2017,acvd_jie_2017,control,ACVD,
