# This network template was created on 2022-03-13
# Files used for network construction: C:/Users/efrat/Documents/REFERENCE_DBs/KEGG_2021_05_14/ligand/reaction/reaction_mapformula.lst, C:/Users/efrat/Documents/REFERENCE_DBs/KEGG_2021_05_14/ligand/reaction/links/reaction_ko.list, C:/Users/efrat/Documents/REFERENCE_DBs/KEGG_2021_05_14/ligand/reaction/reaction
# The flag 'remove_generic_reactions' was set to: TRUE
KO	Rxn	Path	Rxn_Formula	Reversible	Compound	Coef
K01457	R00005	00220	C01010 => C00011	FALSE	C01010	-1
K14541	R00005	00220	C01010 => C00011	FALSE	C01010	-1
K01457	R00005	00220	C01010 => C00011	FALSE	C00011	2
K14541	R00005	00220	C01010 => C00011	FALSE	C00011	2
K01457	R00005	00791	C01010 => C00011	FALSE	C01010	-1
K14541	R00005	00791	C01010 => C00011	FALSE	C01010	-1
K01457	R00005	00791	C01010 => C00011	FALSE	C00011	2
K14541	R00005	00791	C01010 => C00011	FALSE	C00011	2
K10218	R00008	00362	C06033 => C00022	FALSE	C06033	-1
K10218	R00008	00362	C06033 => C00022	FALSE	C00022	2
K10218	R00008	00660	C00022 => C06033	FALSE	C00022	-2
K10218	R00008	00660	C00022 => C06033	FALSE	C06033	1
K03781	R00009	00630	C00027 => C00007	FALSE	C00027	-2
K03781	R00009	00630	C00027 => C00007	FALSE	C00007	1
K01194	R00010	00500	C01083 => C00031	FALSE	C01083	-1
K22934	R00010	00500	C01083 => C00031	FALSE	C01083	-1
K01194	R00010	00500	C01083 => C00031	FALSE	C00031	2
K22934	R00010	00500	C01083 => C00031	FALSE	C00031	2
K01608	R00013	00630	C00048 => C01146	FALSE	C00048	-2
K01608	R00013	00630	C00048 => C01146	FALSE	C01146	1
K00161	R00014	00010	C00022 + C00068 => C05125	FALSE	C00022	-1
K00162	R00014	00010	C00022 + C00068 => C05125	FALSE	C00022	-1
K00163	R00014	00010	C00022 + C00068 => C05125	FALSE	C00022	-1
K01568	R00014	00010	C00022 + C00068 => C05125	FALSE	C00022	-1
K01652	R00014	00010	C00022 + C00068 => C05125	FALSE	C00022	-1
K01653	R00014	00010	C00022 + C00068 => C05125	FALSE	C00022	-1
K11258	R00014	00010	C00022 + C00068 => C05125	FALSE	C00022	-1
K00161	R00014	00010	C00022 + C00068 => C05125	FALSE	C00068	-1
K00162	R00014	00010	C00022 + C00068 => C05125	FALSE	C00068	-1
K00163	R00014	00010	C00022 + C00068 => C05125	FALSE	C00068	-1
K01568	R00014	00010	C00022 + C00068 => C05125	FALSE	C00068	-1
K01652	R00014	00010	C00022 + C00068 => C05125	FALSE	C00068	-1
K01653	R00014	00010	C00022 + C00068 => C05125	FALSE	C00068	-1
K11258	R00014	00010	C00022 + C00068 => C05125	FALSE	C00068	-1
K00161	R00014	00010	C00022 + C00068 => C05125	FALSE	C05125	1
K00162	R00014	00010	C00022 + C00068 => C05125	FALSE	C05125	1
K00163	R00014	00010	C00022 + C00068 => C05125	FALSE	C05125	1
K01568	R00014	00010	C00022 + C00068 => C05125	FALSE	C05125	1
K01652	R00014	00010	C00022 + C00068 => C05125	FALSE	C05125	1
K01653	R00014	00010	C00022 + C00068 => C05125	FALSE	C05125	1
K11258	R00014	00010	C00022 + C00068 => C05125	FALSE	C05125	1
K00161	R00014	00020	C00068 + C00022 => C05125	FALSE	C00068	-1
K00162	R00014	00020	C00068 + C00022 => C05125	FALSE	C00068	-1
K00163	R00014	00020	C00068 + C00022 => C05125	FALSE	C00068	-1
K01568	R00014	00020	C00068 + C00022 => C05125	FALSE	C00068	-1
K01652	R00014	00020	C00068 + C00022 => C05125	FALSE	C00068	-1
K01653	R00014	00020	C00068 + C00022 => C05125	FALSE	C00068	-1
K11258	R00014	00020	C00068 + C00022 => C05125	FALSE	C00068	-1
K00161	R00014	00020	C00068 + C00022 => C05125	FALSE	C00022	-1
K00162	R00014	00020	C00068 + C00022 => C05125	FALSE	C00022	-1
K00163	R00014	00020	C00068 + C00022 => C05125	FALSE	C00022	-1
K01568	R00014	00020	C00068 + C00022 => C05125	FALSE	C00022	-1
K01652	R00014	00020	C00068 + C00022 => C05125	FALSE	C00022	-1
K01653	R00014	00020	C00068 + C00022 => C05125	FALSE	C00022	-1
K11258	R00014	00020	C00068 + C00022 => C05125	FALSE	C00022	-1
K00161	R00014	00020	C00068 + C00022 => C05125	FALSE	C05125	1
K00162	R00014	00020	C00068 + C00022 => C05125	FALSE	C05125	1
K00163	R00014	00020	C00068 + C00022 => C05125	FALSE	C05125	1
K01568	R00014	00020	C00068 + C00022 => C05125	FALSE	C05125	1
K01652	R00014	00020	C00068 + C00022 => C05125	FALSE	C05125	1
K01653	R00014	00020	C00068 + C00022 => C05125	FALSE	C05125	1
K11258	R00014	00020	C00068 + C00022 => C05125	FALSE	C05125	1
K00161	R00014	00620	C00068 + C00022 => C05125	FALSE	C00068	-1
K00162	R00014	00620	C00068 + C00022 => C05125	FALSE	C00068	-1
K00163	R00014	00620	C00068 + C00022 => C05125	FALSE	C00068	-1
K01568	R00014	00620	C00068 + C00022 => C05125	FALSE	C00068	-1
K01652	R00014	00620	C00068 + C00022 => C05125	FALSE	C00068	-1
K01653	R00014	00620	C00068 + C00022 => C05125	FALSE	C00068	-1
K11258	R00014	00620	C00068 + C00022 => C05125	FALSE	C00068	-1
K00161	R00014	00620	C00068 + C00022 => C05125	FALSE	C00022	-1
K00162	R00014	00620	C00068 + C00022 => C05125	FALSE	C00022	-1
K00163	R00014	00620	C00068 + C00022 => C05125	FALSE	C00022	-1
K01568	R00014	00620	C00068 + C00022 => C05125	FALSE	C00022	-1
K01652	R00014	00620	C00068 + C00022 => C05125	FALSE	C00022	-1
K01653	R00014	00620	C00068 + C00022 => C05125	FALSE	C00022	-1
K11258	R00014	00620	C00068 + C00022 => C05125	FALSE	C00022	-1
K00161	R00014	00620	C00068 + C00022 => C05125	FALSE	C05125	1
K00162	R00014	00620	C00068 + C00022 => C05125	FALSE	C05125	1
K00163	R00014	00620	C00068 + C00022 => C05125	FALSE	C05125	1
K01568	R00014	00620	C00068 + C00022 => C05125	FALSE	C05125	1
K01652	R00014	00620	C00068 + C00022 => C05125	FALSE	C05125	1
K01653	R00014	00620	C00068 + C00022 => C05125	FALSE	C05125	1
K11258	R00014	00620	C00068 + C00022 => C05125	FALSE	C05125	1
K00808	R00018	00960	C00134 => C06366	FALSE	C00134	-2
K00808	R00018	00960	C00134 => C06366	FALSE	C06366	1
K00284	R00021	00630	C00026 + C00064 => C00025	FALSE	C00026	-1
K00284	R00021	00630	C00026 + C00064 => C00025	FALSE	C00064	-1
K00284	R00021	00630	C00026 + C00064 => C00025	FALSE	C00025	2
K01207	R00022	00520	C01674 => C00140	FALSE	C01674	-1
K12373	R00022	00520	C01674 => C00140	FALSE	C01674	-1
K01207	R00022	00520	C01674 => C00140	FALSE	C00140	2
K12373	R00022	00520	C01674 => C00140	FALSE	C00140	2
K01601	R00024	00710	C00001 + C01182 + C00011 => C00197	FALSE	C00001	-1
K01602	R00024	00710	C00001 + C01182 + C00011 => C00197	FALSE	C00001	-1
K01601	R00024	00710	C00001 + C01182 + C00011 => C00197	FALSE	C01182	-1
K01602	R00024	00710	C00001 + C01182 + C00011 => C00197	FALSE	C01182	-1
K01601	R00024	00710	C00001 + C01182 + C00011 => C00197	FALSE	C00011	-1
K01602	R00024	00710	C00001 + C01182 + C00011 => C00197	FALSE	C00011	-1
K01601	R00024	00710	C00001 + C01182 + C00011 => C00197	FALSE	C00197	2
K01602	R00024	00710	C00001 + C01182 + C00011 => C00197	FALSE	C00197	2
K01601	R00024	01200	C01182 => C00197	FALSE	C01182	-1
K01602	R00024	01200	C01182 => C00197	FALSE	C01182	-1
K01601	R00024	01200	C01182 => C00197	FALSE	C00197	2
K01602	R00024	01200	C01182 => C00197	FALSE	C00197	2
K00459	R00025	00910	C18091 => C00088	FALSE	C18091	-1
K00459	R00025	00910	C18091 => C00088	FALSE	C00088	1
K01187	R00028	00500	C00208 => C00031	FALSE	C00208	-1
K12047	R00028	00500	C00208 => C00031	FALSE	C00208	-1
K12316	R00028	00500	C00208 => C00031	FALSE	C00208	-1
K12317	R00028	00500	C00208 => C00031	FALSE	C00208	-1
K01187	R00028	00500	C00208 => C00031	FALSE	C00031	2
K12047	R00028	00500	C00208 => C00031	FALSE	C00031	2
K12316	R00028	00500	C00208 => C00031	FALSE	C00031	2
K12317	R00028	00500	C00208 => C00031	FALSE	C00031	2
K00422	R00031	00350	C00082 => C00355	FALSE	C00082	-2
K00422	R00031	00350	C00082 => C00355	FALSE	C00355	2
K00422	R00031	00950	C00082 => C00355	FALSE	C00082	-2
K00422	R00031	00950	C00082 => C00355	FALSE	C00355	2
K00515	R00032	00830	C02094 => C00376	FALSE	C02094	-1
K00515	R00032	00830	C02094 => C00376	FALSE	C00376	2
K00515	R00032	01240	C02094 => C00376	FALSE	C02094	-1
K00515	R00032	01240	C02094 => C00376	FALSE	C00376	2
K01698	R00036	00860	C00430 => C00931	FALSE	C00430	-2
K01698	R00036	00860	C00430 => C00931	FALSE	C00931	1
K01698	R00036	01240	C00430 => C00931	FALSE	C00430	-2
K01698	R00036	01240	C00430 => C00931	FALSE	C00931	1
K00422	R00045	00350	C00355 => C00822	FALSE	C00355	-2
K00422	R00045	00350	C00355 => C00822	FALSE	C00822	2
K07518	R00048	00650	C04546 <=> C01089	TRUE	C04546	-1
K07518	R00048	00650	C04546 <=> C01089	TRUE	C01089	2
K01453	R00059	00930	C01255 => C02378	FALSE	C01255	-1
K01453	R00059	00930	C01255 => C02378	FALSE	C02378	2
K00793	R00066	00740	C04332 => C04732 + C00255	FALSE	C04332	-2
K00793	R00066	00740	C04332 => C04732 + C00255	FALSE	C04732	1
K00793	R00066	00740	C04332 => C04732 + C00255	FALSE	C00255	1
K00793	R00066	01240	C04332 => C00255	FALSE	C04332	-2
K00793	R00066	01240	C04332 => C00255	FALSE	C00255	1
K00423	R00068	00053	C00072 => C05422	FALSE	C00072	-2
K00423	R00068	00053	C00072 => C05422	FALSE	C05422	2
K00509	R00073	00590	C05956 => C00427	FALSE	C05956	-1
K11987	R00073	00590	C05956 => C00427	FALSE	C05956	-1
K00509	R00073	00590	C05956 => C00427	FALSE	C00427	1
K11987	R00073	00590	C05956 => C00427	FALSE	C00427	1
K20204	R00074	00380	C01987 => C02161	FALSE	C01987	-4
K20219	R00074	00380	C01987 => C02161	FALSE	C01987	-4
K20204	R00074	00380	C01987 => C02161	FALSE	C02161	4
K20219	R00074	00380	C01987 => C02161	FALSE	C02161	4
K03594	R00078	00860	C14818 => C14819	FALSE	C14818	-4
K13624	R00078	00860	C14818 => C14819	FALSE	C14818	-4
K14735	R00078	00860	C14818 => C14819	FALSE	C14818	-4
K19054	R00078	00860	C14818 => C14819	FALSE	C14818	-4
K22336	R00078	00860	C14818 => C14819	FALSE	C14818	-4
K22552	R00078	00860	C14818 => C14819	FALSE	C14818	-4
K03594	R00078	00860	C14818 => C14819	FALSE	C14819	4
K13624	R00078	00860	C14818 => C14819	FALSE	C14819	4
K14735	R00078	00860	C14818 => C14819	FALSE	C14819	4
K19054	R00078	00860	C14818 => C14819	FALSE	C14819	4
K22336	R00078	00860	C14818 => C14819	FALSE	C14819	4
K22552	R00078	00860	C14818 => C14819	FALSE	C14819	4
K01749	R00084	00860	C00931 => C01024	FALSE	C00931	-4
K01749	R00084	00860	C00931 => C01024	FALSE	C01024	1
K01749	R00084	01240	C00931 => C01024	FALSE	C00931	-4
K01749	R00084	01240	C00931 => C01024	FALSE	C01024	1
K01509	R00086	00230	C00002 => C00008	FALSE	C00002	-1
K01510	R00086	00230	C00002 => C00008	FALSE	C00002	-1
K04765	R00086	00230	C00002 => C00008	FALSE	C00002	-1
K06928	R00086	00230	C00002 => C00008	FALSE	C00002	-1
K14641	R00086	00230	C00002 => C00008	FALSE	C00002	-1
K14642	R00086	00230	C00002 => C00008	FALSE	C00002	-1
K01509	R00086	00230	C00002 => C00008	FALSE	C00008	1
K01510	R00086	00230	C00002 => C00008	FALSE	C00008	1
K04765	R00086	00230	C00002 => C00008	FALSE	C00008	1
K06928	R00086	00230	C00002 => C00008	FALSE	C00008	1
K14641	R00086	00230	C00002 => C00008	FALSE	C00008	1
K14642	R00086	00230	C00002 => C00008	FALSE	C00008	1
K01513	R00087	00230	C00002 => C00020	FALSE	C00002	-1
K04765	R00087	00230	C00002 => C00020	FALSE	C00002	-1
